Case #;Class;I0;PA500;HFS;DA;Area;A/DA;Max IP;DR;P
1;1;524,79;0,19;0,03;228,80;6843,60;29,91;60,20;220,74;556,83
2;1;330,00;0,23;0,27;121,15;3163,24;26,11;69,72;99,08;400,23
3;1;551,88;0,23;0,06;264,80;11888,39;44,89;77,79;253,79;656,77
4;1;380,00;0,24;0,29;137,64;5402,17;39,25;88,76;105,20;493,70
5;1;362,83;0,20;0,24;124,91;3290,46;26,34;69,39;103,87;424,80
6;1;389,87;0,15;0,10;118,63;2475,56;20,87;49,76;107,69;429,39
7;1;290,46;0,14;0,05;74,64;1189,55;15,94;35,70;65,54;330,27
8;1;275,68;0,15;0,19;91,53;1756,23;19,19;39,31;82,66;331,59
9;1;470,00;0,21;0,23;184,59;8185,36;44,34;84,48;164,12;603,32
10;1;423,00;0,22;0,26;172,37;6108,11;35,44;79,06;153,17;558,27
11;1;410,00;0,32;0,30;255,82;10622,55;41,52;67,52;246,74;508,54
12;1;500,00;0,23;0,05;219,30;9819,45;44,78;76,87;207,27;602,53
13;1;438,78;0,21;0,06;120,90;4879,50;40,36;80,79;89,94;525,42
14;1;366,94;0,28;0,25;172,75;7064,82;40,90;75,60;155,32;471,59
15;1;485,67;0,23;0,13;253,89;8135,97;32,04;64,86;245,47;541,36
16;1;390,00;0,36;0,20;245,69;10055,84;40,93;70,32;236,49;477,55
17;1;269,50;0,21;0,04;80,41;1963,61;24,42;44,74;66,84;329,09
18;1;300,00;0,19;0,17;97,11;3039,56;31,30;51,35;82,42;387,08
19;1;325,00;0,22;0,29;229,22;5705,33;24,89;35,60;227,26;462,70
20;1;294,47;0,21;0,47;194,87;5541,26;28,44;36,77;191,80;445,51
21;1;500,00;0,19;0,19;144,69;3055,01;21,11;96,56;107,75;542,90
22;2;211,00;0,05;0,09;30,75;151,98;4,94;14,27;27,24;217,13
23;2;196,86;0,02;0,09;28,59;82,06;2,87;7,97;27,66;200,75
24;2;245,00;0,19;0,08;62,90;1235,98;19,65;42,15;46,69;292,38
25;2;352,66;0,12;0,09;68,53;1066,16;15,56;43,69;52,79;382,73
26;2;243,29;0,04;0,07;68,54;383,93;5,60;9,99;67,82;263,64
27;2;259,89;0,07;0,01;58,24;465,09;7,99;17,51;56,34;267,52
28;2;250,00;0,07;-0,02;57,17;652,90;11,42;17,78;55,79;278,31
29;2;200,00;0,04;0,12;42,32;220,81;5,22;10,68;40,95;218,03
30;2;355,00;0,06;0,08;89,56;1033,85;11,54;27,56;86,58;372,04
31;2;272,00;0,09;0,00;63,79;718,95;11,27;20,09;60,69;286,92
32;2;341,62;0,09;0,07;85,04;1370,84;16,12;29,03;79,94;385,13
33;2;160,32;0,18;0,16;37,22;341,88;9,19;30,89;20,76;187,57
34;2;301,30;0,11;0,04;64,62;942,77;14,59;29,05;57,72;335,77
35;2;155,00;0,17;0,12;38,94;415,11;10,66;25,84;29,13;184,82
36;2;144,00;0,12;0,05;19,65;70,43;3,58;18,13;7,57;160,37
37;3;178,00;0,17;0,21;41,54;489,44;11,78;35,75;21,16;215,91
38;3;195,00;0,14;0,21;37,46;328,38;8,77;35,02;13,29;232,59
39;3;435,09;0,08;0,16;123,60;1342,28;10,86;37,38;117,81;433,20
40;3;250,00;0,05;0,01;70,91;224,15;3,16;9,10;70,32;232,28
41;3;339,51;0,05;0,03;88,63;331,08;3,74;19,83;87,62;307,79
42;3;236,00;0,12;0,20;48,45;236,88;4,89;36,01;32,42;244,97
43;3;481,47;0,08;0,02;79,06;1154,34;14,60;33,93;71,41;501,89
44;3;252,00;0,11;0,03;38,54;493,79;12,81;25,54;28,87;280,66
45;3;172,52;0,13;0,04;37,54;192,22;5,12;19,32;32,19;174,93
46;3;121,00;0,17;0,09;24,44;144,47;5,91;22,02;10,59;141,77
47;3;196,36;0,18;0,14;54,58;843,26;15,45;34,15;42,58;239,94
48;3;370,40;0,10;0,00;115,92;1308,12;11,28;31,37;112,72;365,98
49;3;260,28;0,08;0,03;58,82;277,26;4,71;17,87;56,04;248,62
50;3;544,65;0,06;0,00;100,79;1189,29;11,80;29,41;96,58;553,36
